episode,state,action,agent_rule,env_rule,cum_return
0,"((2, 1, 0), 1, 0)",1,1,2,-100
0,"((0, 1, 2), 0, 0)",2,0,2,-101
0,"((1, 3, 2), 0, 0)",0,0,2,-102
0,"((3, 0, 2), 2, 1)",2,2,2,-101
0,"((1, 2, 3), 1, 0)",0,1,2,-102
0,"((3, 0, 2), 2, 1)",3,2,2,-101
0,"((0, 2, 1), 3, 0)",1,3,2,-102
0,"((1, 3, 2), 2, 1)",1,2,2,-101
0,"((3, 0, 2), 3, 0)",0,3,2,-102
0,"((0, 2, 3), 0, 0)",3,0,2,-103
0,"((1, 2, 0), 1, 0)",2,1,2,-104
0,"((2, 0, 3), 0, 0)",1,0,2,-105
0,"((0, 1, 3), 1, 0)",0,1,2,-106
0,"((2, 3, 1), 0, 0)",0,0,2,-107
0,"((2, 3, 0), 2, 1)",1,2,2,-106
0,"((2, 3, 0), 2, 2)",0,2,0,-105
0,"((3, 2, 1), 2, 0)",0,2,0,-106
0,"((3, 2, 1), 0, 1)",3,0,0,-105
0,"((0, 1, 2), 2, 0)",1,2,0,-106
0,"((3, 1, 0), 0, 1)",0,0,0,-105
0,"((2, 1, 0), 2, 0)",0,2,0,-106
0,"((0, 1, 2), 2, 0)",0,2,0,-107
0,"((0, 1, 3), 0, 1)",0,0,0,-106
0,"((1, 2, 0), 0, 2)",0,0,0,-105
0,"((0, 1, 2), 2, 0)",0,2,0,-106
0,"((0, 3, 2), 0, 1)",0,0,0,-105
0,"((0, 3, 1), 0, 2)",0,0,1,-104
0,"((3, 0, 1), 0, 0)",0,0,1,-105
0,"((1, 2, 0), 1, 1)",0,1,1,-104
0,"((0, 3, 1), 2, 0)",0,2,1,-105
0,"((1, 3, 2), 2, 0)",1,2,1,-106
0,"((0, 2, 3), 2, 0)",2,2,1,-107
0,"((0, 3, 2), 1, 1)",2,1,1,-106
0,"((1, 2, 0), 0, 0)",0,0,1,-107
0,"((1, 2, 3), 0, 0)",1,0,1,-108
0,"((2, 1, 3), 1, 1)",2,1,1,-107
0,"((2, 0, 3), 3, 0)",0,3,1,-108
0,"((0, 2, 1), 0, 0)",2,0,1,-109
0,"((3, 2, 1), 1, 1)",2,1,1,-108
0,"((3, 1, 2), 2, 0)",1,2,1,-109
0,"((0, 3, 1), 1, 1)",1,1,1,-108
0,"((3, 1, 2), 2, 0)",1,2,1,-109
0,"((3, 0, 2), 1, 1)",1,1,1,-108
0,"((0, 2, 3), 1, 2)",0,1,1,-107
0,"((3, 1, 0), 3, 0)",1,3,1,-108
0,"((2, 1, 3), 1, 1)",1,1,1,-107
0,"((3, 1, 2), 1, 2)",1,1,1,-106
0,"((2, 1, 0), 3, 0)",0,3,1,-107
0,"((3, 0, 1), 0, 0)",2,0,1,-108
0,"((0, 1, 2), 1, 1)",0,1,1,-107
0,"((2, 1, 0), 0, 0)",0,0,1,-108
0,"((0, 2, 1), 1, 1)",1,1,1,-107
0,"((2, 3, 1), 0, 0)",0,0,1,-108
0,"((1, 2, 3), 2, 0)",1,2,1,-109
0,"((0, 1, 3), 0, 0)",1,0,1,-110
1,"((3, 1, 2), 1, 0)",1,1,1,-1
1,"((1, 2, 0), 0, 0)",3,0,1,-2
1,"((3, 2, 1), 1, 1)",2,1,1,-1
1,"((3, 1, 0), 1, 2)",2,1,1,0
1,"((3, 2, 1), 2, 0)",0,2,1,-1
1,"((2, 3, 1), 0, 0)",3,0,1,-2
1,"((2, 1, 0), 0, 0)",2,0,1,-3
1,"((2, 3, 0), 1, 1)",1,1,1,-2
1,"((1, 0, 3), 3, 0)",1,3,1,-3
1,"((1, 2, 0), 0, 0)",1,0,1,-4
1,"((0, 1, 2), 1, 1)",2,1,1,-3
1,"((3, 1, 2), 1, 2)",1,1,1,-2
1,"((0, 2, 3), 1, 3)",1,1,2,-1
1,"((0, 3, 1), 0, 0)",0,0,2,-2
1,"((3, 1, 2), 3, 0)",2,3,2,-3
1,"((3, 0, 2), 1, 0)",1,1,2,-4
1,"((2, 1, 0), 1, 0)",0,1,2,-5
1,"((0, 3, 2), 3, 0)",3,3,2,-6
1,"((1, 3, 2), 0, 0)",0,0,2,-7
1,"((1, 0, 3), 2, 1)",2,2,2,-6
1,"((3, 1, 0), 1, 0)",0,1,2,-7
